
		//
		// Overwatch localized names
		//
		"CSGO_Overwatch_TheSuspect"			"The Suspect"
		"CSGO_FakePlayer_Rip"				"Rip"
		"CSGO_FakePlayer_Zach"				"Zach"
		"CSGO_FakePlayer_Cory"				"Cory"
		"CSGO_FakePlayer_Quinn"				"Quinn"
		"CSGO_FakePlayer_Seth"				"Seth"
		"CSGO_FakePlayer_Vinny"				"Vinny"
		"CSGO_FakePlayer_Brian"				"Brian"
		"CSGO_FakePlayer_Chad"				"Chad"
		"CSGO_FakePlayer_Chet"				"Chet"
		"CSGO_FakePlayer_Gabe"				"Gabe"
		"CSGO_FakePlayer_Hank"				"Hank"
		"CSGO_FakePlayer_Ivan"				"Ivan"
		"CSGO_FakePlayer_Jim"				"Jim"
		"CSGO_FakePlayer_Joe"				"Joe"
		"CSGO_FakePlayer_John"				"John"
		"CSGO_FakePlayer_Tony"				"Tony"
		"CSGO_FakePlayer_Tyler"				"Tyler"
		"CSGO_FakePlayer_Victor"			"Victor"
		"CSGO_FakePlayer_Vladimir"			"Vladimir"
		"CSGO_FakePlayer_Zane"				"Zane"
		"CSGO_FakePlayer_Zim"				"Zim"
		"CSGO_FakePlayer_Adrian"			"Adrian"
		"CSGO_FakePlayer_Brad"				"Brad"
		"CSGO_FakePlayer_Connor"			"Connor"
		"CSGO_FakePlayer_Dave"				"Dave"
		"CSGO_FakePlayer_Dan"				"Dan"
		"CSGO_FakePlayer_Derek"				"Derek"
		"CSGO_FakePlayer_Don"				"Don"
		"CSGO_FakePlayer_Eric"				"Eric"
		"CSGO_FakePlayer_Erik"				"Erik"
		"CSGO_FakePlayer_Finn"				"Finn"
		"CSGO_FakePlayer_Jeff"				"Jeff"
		"CSGO_FakePlayer_Kevin"				"Kevin"
		"CSGO_FakePlayer_Reed"				"Reed"
		"CSGO_FakePlayer_Rick"				"Rick"
		"CSGO_FakePlayer_Ted"				"Ted"
		"CSGO_FakePlayer_Troy"				"Troy"
		"CSGO_FakePlayer_Wade"				"Wade"
		"CSGO_FakePlayer_Wayne"				"Wayne"
		"CSGO_FakePlayer_Xander"			"Xander"
		"CSGO_FakePlayer_Xavier"			"Xavier"
		"CSGO_FakePlayer_Adam"				"Adam"
		"CSGO_FakePlayer_Andy"				"Andy"
		"CSGO_FakePlayer_Chris"				"Chris"
		"CSGO_FakePlayer_Colin"				"Colin"
		"CSGO_FakePlayer_Dennis"			"Dennis"
		"CSGO_FakePlayer_Doug"				"Doug"
		"CSGO_FakePlayer_Duffy"				"Duffy"
		"CSGO_FakePlayer_Gary"				"Gary"
		"CSGO_FakePlayer_Grant"				"Grant"
		"CSGO_FakePlayer_Greg"				"Greg"
		"CSGO_FakePlayer_Ian"				"Ian"
		"CSGO_FakePlayer_Jerry"				"Jerry"
		"CSGO_FakePlayer_Jon"				"Jon"
		"CSGO_FakePlayer_Keith"				"Keith"
		"CSGO_FakePlayer_Mark"				"Mark"
		"CSGO_FakePlayer_Matt"				"Matt"
		"CSGO_FakePlayer_Mike"				"Mike"
		"CSGO_FakePlayer_Nate"				"Nate"
		"CSGO_FakePlayer_Paul"				"Paul"
		"CSGO_FakePlayer_Scott"				"Scott"
		"CSGO_FakePlayer_Steve"				"Steve"
		"CSGO_FakePlayer_Tom"				"Tom"
		"CSGO_FakePlayer_Yahn"				"Yahn"
		"CSGO_FakePlayer_Alfred"			"Alfred"
		"CSGO_FakePlayer_Bill"				"Bill"
		"CSGO_FakePlayer_Brandon"			"Brandon"
		"CSGO_FakePlayer_Calvin"			"Calvin"
		"CSGO_FakePlayer_Dean"				"Dean"
		"CSGO_FakePlayer_Dustin"			"Dustin"
		"CSGO_FakePlayer_Ethan"				"Ethan"
		"CSGO_FakePlayer_Harold"			"Harold"
		"CSGO_FakePlayer_Henry"				"Henry"
		"CSGO_FakePlayer_Irving"			"Irving"
		"CSGO_FakePlayer_Jason"				"Jason"
		"CSGO_FakePlayer_Jenssen"			"Jenssen"
		"CSGO_FakePlayer_Josh"				"Josh"
		"CSGO_FakePlayer_Martin"			"Martin"
		"CSGO_FakePlayer_Nick"				"Nick"
		"CSGO_FakePlayer_Norm"				"Norm"
		"CSGO_FakePlayer_Orin"				"Orin"
		"CSGO_FakePlayer_Pat"				"Pat"
		"CSGO_FakePlayer_Perry"				"Perry"
		"CSGO_FakePlayer_Ron"				"Ron"
		"CSGO_FakePlayer_Shawn"				"Shawn"
		"CSGO_FakePlayer_Tim"				"Tim"
		"CSGO_FakePlayer_Will"				"Will"
		"CSGO_FakePlayer_Wyatt"				"Wyatt"
		"CSGO_FakePlayer_Albert"			"Albert"
		"CSGO_FakePlayer_Allen"				"Allen"
		"CSGO_FakePlayer_Bert"				"Bert"
		"CSGO_FakePlayer_Bob"				"Bob"
		"CSGO_FakePlayer_Cecil"				"Cecil"
		"CSGO_FakePlayer_Clarence"			"Clarence"
		"CSGO_FakePlayer_Elliot"			"Elliot"
		"CSGO_FakePlayer_Elmer"				"Elmer"
		"CSGO_FakePlayer_Ernie"				"Ernie"
		"CSGO_FakePlayer_Eugene"			"Eugene"
		"CSGO_FakePlayer_Fergus"			"Fergus"
		"CSGO_FakePlayer_Ferris"			"Ferris"
		"CSGO_FakePlayer_Frank"				"Frank"
		"CSGO_FakePlayer_Frasier"			"Frasier"
		"CSGO_FakePlayer_Fred"				"Fred"
		"CSGO_FakePlayer_George"			"George"
		"CSGO_FakePlayer_Graham"			"Graham"
		"CSGO_FakePlayer_Harvey"			"Harvey"
		"CSGO_FakePlayer_Irwin"				"Irwin"
		"CSGO_FakePlayer_Larry"				"Larry"
		"CSGO_FakePlayer_Lester"			"Lester"
		"CSGO_FakePlayer_Marvin"			"Marvin"
		"CSGO_FakePlayer_Neil"				"Neil"
		"CSGO_FakePlayer_Niles"				"Niles"
		"CSGO_FakePlayer_Oliver"			"Oliver"
		"CSGO_FakePlayer_Opie"				"Opie"
		"CSGO_FakePlayer_Ryan"				"Ryan"
		"CSGO_FakePlayer_Toby"				"Toby"
		"CSGO_FakePlayer_Ulric"				"Ulric"
		"CSGO_FakePlayer_Ulysses"			"Ulysses"
		"CSGO_FakePlayer_Uri"				"Uri"
		"CSGO_FakePlayer_Waldo"				"Waldo"
		"CSGO_FakePlayer_Wally"				"Wally"
		"CSGO_FakePlayer_Walt"				"Walt"
		"CSGO_FakePlayer_Wesley"			"Wesley"
		"CSGO_FakePlayer_Yanni"				"Yanni"
		"CSGO_FakePlayer_Yogi"				"Yogi"
		"CSGO_FakePlayer_Yuri"				"Yuri"

		//
		// Events announcements
		// Localization warning: these strings contain special characters to control color-coding and care should be taken when localizing
		//
		"CSGO_Tournament_Event_AnnouncementChat1"	"%event% %stage% match is now starting"
		"CSGO_Tournament_Event_AnnouncementChat2"	"%team0% -vs- %team1% on %map%"
		"CSGO_Tournament_Event_AnnouncementChat3"	"Watch the match from the main menu WATCH tab"
		"CSGO_Tournament_Event_AnnouncementLobby"	"\n<font color=\"#40FF40\">%event% %stage% match is now starting</font>\n<font color=\"#5e98d9\">%team0%</font><font color=\"#40FF40\"> -vs- </font><font color=\"#e4ae39\">%team1%</font><font color=\"#40FF40\"> on %map%\nWatch the match from the main menu WATCH tab</font>\n"

		//
		// Authentication keys
		//
		"CSGO_SupportGameAuthKey_Type_9"		"2016 MLG Columbus Pick'Em and Fantasy Management"
		"CSGO_SupportGameAuthKey_Desc_9"		"Third-party websites and applications can use this authentication code to access your 2016 MLG Columbus Pick'Em Challenge predictions and Fantasy game lineups, and help you place tournament team stickers and tournament player autographs that you own as your predictions and fantasy roster picks during 2016 MLG Columbus CS:GO Championship.<br/><br/>Using your tournament sticker to make your Pick'Em predictions will lock that sticker to be unusable and untradable until the end of the match day. Using your player autograph for your fantasy roster pick will lock that sticker to be unusable and untradable until the end of the tournament. Removing predictions at a later time will not undo the lock."
		"CSGO_SupportGameAuthKey_Type_10"		"2016 Cologne Pick'Em and Fantasy Management"
		"CSGO_SupportGameAuthKey_Desc_10"		"Third-party websites and applications can use this authentication code to access your 2016 Cologne Pick'Em Challenge predictions and Fantasy game lineups, and help you place tournament team stickers and tournament player autographs that you own as your predictions and fantasy roster picks during 2016 Cologne CS:GO Championship.<br/><br/>Using your tournament sticker to make your Pick'Em predictions will lock that sticker to be unusable and untradable until the end of the match day. Using your player autograph for your fantasy roster pick will lock that sticker to be unusable and untradable until the end of the tournament. Removing predictions at a later time will not undo the lock."
		"CSGO_SupportGameAuthKey_Type_11"		"2017 Atlanta Pick'Em Management"
		"CSGO_SupportGameAuthKey_Desc_11"		"Third-party websites and applications can use this authentication code to access your 2017 Atlanta Pick'Em Challenge predictions, and help you place tournament team stickers that you own as your predictions during 2017 Atlanta CS:GO Championship.<br/><br/>Using your tournament sticker to make your Pick'Em predictions will lock that sticker to be unusable and untradable until the end of the tournament stage. Removing predictions at a later time will not undo the lock."
		
		// Events strings
		//
		"CSGO_Tournament_Event_Name_1"			"The 2013 DreamHack SteelSeries CS:GO Championship"
		"CSGO_Tournament_Event_NameShort_1"		"2013 DreamHack Winter"
		"CSGO_Tournament_Event_Name_2"			"The Valve Test Championship"
		"CSGO_Tournament_Event_NameShort_2"		"The Valve Test Championship"
		"CSGO_Tournament_Event_Name_3"			"The 2014 EMS One Katowice CS:GO Championship"
		"CSGO_Tournament_Event_NameShort_3"		"2014 EMS One Katowice"
		"CSGO_Tournament_Event_Name_4"			"ESL One Cologne 2014 CS:GO Championship"
		"CSGO_Tournament_Event_NameShort_4"		"2014 ESL One Cologne"
		"CSGO_Tournament_Event_Name_5"			"The 2014 DreamHack CS:GO Championship"
		"CSGO_Tournament_Event_NameShort_5"		"2014 DreamHack Winter"
		"CSGO_Tournament_Event_Name_6"			"2015 ESL One Katowice CS:GO Championship"
		"CSGO_Tournament_Event_NameShort_6"		"2015 ESL One Katowice"
		"CSGO_Tournament_Event_Name_7"			"2015 ESL One Cologne CS:GO Championship"
		"CSGO_Tournament_Event_NameShort_7"		"2015 ESL One Cologne"
		"CSGO_Tournament_Event_Name_8"			"2015 DreamHack Cluj-Napoca CS:GO Championship"
		"CSGO_Tournament_Event_NameShort_8"		"2015 DreamHack Cluj-Napoca"
		"CSGO_Tournament_Event_Name_9"			"2016 MLG Columbus CS:GO Championship"
		"CSGO_Tournament_Event_NameShort_9"		"2016 MLG Columbus"
		"CSGO_Tournament_Event_Name_10"			"2016 ESL One Cologne CS:GO Championship"
		"CSGO_Tournament_Event_NameShort_10"	"2016 ESL One Cologne"
		"CSGO_Tournament_Event_Name_11"			"2017 ELEAGUE Atlanta CS:GO Championship"
		"CSGO_Tournament_Event_NameShort_11"	"2017 ELEAGUE Atlanta"

		"CSGO_Tournament_Event_Stage_1"			"Exhibition"
		"CSGO_Tournament_Event_Stage_2"			"Group Stage"
		"CSGO_Tournament_Event_Stage_3"			"BYOC"
		"CSGO_Tournament_Event_Stage_4"			"Valve Pre-Event Test"
		"CSGO_Tournament_Event_Stage_5"			"Quarterfinal"
		"CSGO_Tournament_Event_Stage_6"			"Quarterfinal"
		"CSGO_Tournament_Event_Stage_7"			"Quarterfinal"
		"CSGO_Tournament_Event_Stage_8"			"Semifinal"
		"CSGO_Tournament_Event_Stage_9"			"Semifinal"
		"CSGO_Tournament_Event_Stage_10"		"Semifinal"
		"CSGO_Tournament_Event_Stage_11"		"Grand Final"
		"CSGO_Tournament_Event_Stage_12"		"Grand Final"
		"CSGO_Tournament_Event_Stage_13"		"Grand Final"
		"CSGO_Tournament_Event_Stage_14"		"All-Star"
		"CSGO_Tournament_Event_Stage_15"		"Group Stage"
		"CSGO_Tournament_Event_Stage_16"		"Group Stage"
		"CSGO_Tournament_Event_Stage_17"		"Group Stage"
		"CSGO_Tournament_Event_Stage_18"		"Qualification"
		"CSGO_Tournament_Event_Stage_19"		"Qualification"
		"CSGO_Tournament_Event_Stage_20"		"Qualification"
		"CSGO_Tournament_Event_Stage_21"		"Group Stage"
		"CSGO_Tournament_Event_Stage_22"		"Group Stage"
		"CSGO_Tournament_Event_Stage_23"		"Group Stage"
		"CSGO_Tournament_Event_Stage_24"		"Group Stage"
		"CSGO_Tournament_Event_Stage_25"		"Group Stage"
		"CSGO_Tournament_Event_Stage_26"		"Group Stage"

		"CSGO_Tournament_Event_Stage_Display_1"			"Exhibition"
		"CSGO_Tournament_Event_Stage_Display_2"			"Group Stage | First Stage"
		"CSGO_Tournament_Event_Stage_Display_3"			"BYOC"
		"CSGO_Tournament_Event_Stage_Display_4"			"Valve Pre-Event Test"
		"CSGO_Tournament_Event_Stage_Display_5"			"Quarterfinal | Match 1 of 3"
		"CSGO_Tournament_Event_Stage_Display_6"			"Quarterfinal | Match 2 of 3"
		"CSGO_Tournament_Event_Stage_Display_7"			"Quarterfinal | Decider Match"
		"CSGO_Tournament_Event_Stage_Display_8"			"Semifinal | Match 1 of 3"
		"CSGO_Tournament_Event_Stage_Display_9"			"Semifinal | Match 2 of 3"
		"CSGO_Tournament_Event_Stage_Display_10"		"Semifinal | Decider Match"
		"CSGO_Tournament_Event_Stage_Display_11"		"Grand Final | Match 1 of 3"
		"CSGO_Tournament_Event_Stage_Display_12"		"Grand Final | Match 2 of 3"
		"CSGO_Tournament_Event_Stage_Display_13"		"Grand Final | Decider Match"
		"CSGO_Tournament_Event_Stage_Display_14"		"All-Star"
		"CSGO_Tournament_Event_Stage_Display_15"		"Group Stage | Winners Match"
		"CSGO_Tournament_Event_Stage_Display_16"		"Group Stage | Elimination Match"
		"CSGO_Tournament_Event_Stage_Display_17"		"Group Stage | Decider Match"
		"CSGO_Tournament_Event_Stage_Display_18"		"Qualification | Match 1 of 3"
		"CSGO_Tournament_Event_Stage_Display_19"		"Qualification | Match 2 of 3"
		"CSGO_Tournament_Event_Stage_Display_20"		"Qualification | Decider Match"
		"CSGO_Tournament_Event_Stage_Display_21"		"Group Stage | Decider Match 1 of 3"
		"CSGO_Tournament_Event_Stage_Display_22"		"Group Stage | Decider Match 2 of 3"
		"CSGO_Tournament_Event_Stage_Display_23"		"Group Stage | Decider Match"
		"CSGO_Tournament_Event_Stage_Display_24"		"Group Stage | Upper Group"
		"CSGO_Tournament_Event_Stage_Display_25"		"Group Stage | Lower Group"
		"CSGO_Tournament_Event_Stage_Display_26"		"Group Stage | Middle Group"

		// Match global stats stage names
		"CSGO_MatchInfo_Stage_Group"	"Group Stage"
		"CSGO_MatchInfo_Stage_Groups"	"Group Stages"
		"CSGO_MatchInfo_Stage_GroupA"	"Group A"
		"CSGO_MatchInfo_Stage_GroupB"	"Group B"
		"CSGO_MatchInfo_Stage_GroupC"	"Group C"
		"CSGO_MatchInfo_Stage_GroupD"	"Group D"
		"CSGO_MatchInfo_Stage_GroupE"	"Group E"
		"CSGO_MatchInfo_Stage_GroupF"	"Group F"
		"CSGO_MatchInfo_Stage_GroupG"	"Group G"
		"CSGO_MatchInfo_Stage_GroupH"	"Group H"
		"CSGO_MatchInfo_Stage_Qualification"	"Qualification"
		"CSGO_MatchInfo_Stage_Qualifications"	"Qualifications"
		"CSGO_MatchInfo_Stage_Quarterfinal"	"Quarterfinal"
		"CSGO_MatchInfo_Stage_Quarterfinals"	"Quarterfinals"
		"CSGO_MatchInfo_Stage_Semifinal"	"Semifinal"
		"CSGO_MatchInfo_Stage_Semifinals"	"Semifinals"
		"CSGO_MatchInfo_Stage_GrandFinal"	"Grand Final"
		"CSGO_Tournament_Matches_Allstar"	"All-Star"

		// Group stage global match stats
		"CSGO_MatchInfoTxt_Group0"	"%name% | First Stage"
		"CSGO_MatchInfoTxt_GroupSwRnd2"	"%name% | Second Stage"
		"CSGO_MatchInfoTxt_GroupSwRnd3"	"%name% | Third Stage"
		"CSGO_MatchInfoTxt_Group1W"	"%name% | Winners Match"
		"CSGO_MatchInfoTxt_Group1L"	"%name% | Elimination Match"
		"CSGO_MatchInfoTxt_Group2"	"%name% | Decider Match"
		"CSGO_MatchInfoTxt_Group2Series2"	"%name% | Decider Match %idx% of %count%"
		"CSGO_MatchInfoTeam_WinVs"	"Defeated %team%"
		"CSGO_MatchInfoTeam_LossVs"	"Lost against %team%"
		"CSGO_MatchInfoTxt_BracketDecider"	"%name% | Decider Match"

		// Bracket best-of-N match (e.g. usage "#CSGO_MatchInfoTxt_Series2{name=#CSGO_Tournament_Event_Stage_5}{idx=2}{count=3}")
		"CSGO_MatchInfoTxt_Series1"			"Match %idx% of %count%"
		"CSGO_MatchInfoTxt_Series2"			"%name% | Match %idx% of %count%"
		"CSGO_MatchInfoTxt_PreviouslyIn"	"Previously in %name%"
		"CSGO_MatchInfoTxt_JustPlayedMap"	"Previous Match in Best of %count% Series"
		"CSGO_MatchInfoTxt_JustPlayedMaps"	"Previous Matches in Best of %count% Series"
		"CSGO_MatchInfoTeam_QualPos1"		"Winner of %name%"
		"CSGO_MatchInfoTeam_QualPos2"		"Runner-up of %name%"
		"CSGO_MatchInfoTeam_QualPos3"		"Qualified from %name%"
		"CSGO_MatchInfoTeam_WinAdvan"		"Advances with win"
		"CSGO_MatchInfoTeam_LossElim"		"Eliminated with loss"
		"CSGO_MatchInfoTeam_WinPrevMap"		"Won on %map%"
		"CSGO_MatchInfoTeam_LossPrevMap"	"Lost on %map%"
		"CSGO_MatchInfoTeam_WinScore"		"Won %high%:%low%"
		"CSGO_MatchInfoTeam_Loss"			"Lost"
		"CSGO_MatchInfoTeam_LossScore"		"Lost %low%:%high%"
		"CSGO_MatchInfoTeam_WinScoreMap"	"Won %map%  %high%:%low%"
		"CSGO_MatchInfoTeam_LossScoreMap"	"Lost %map%  %low%:%high%"

		// Team names
		"CSGO_TeamID_1"			"Ninjas in Pyjamas"
		"CSGO_TeamID_2"			"Astana Dragons"
		"CSGO_TeamID_3"			"compLexity Gaming"
		"CSGO_TeamID_4"			"VeryGames"
		"CSGO_TeamID_5"			"iBUYPOWER"
		"CSGO_TeamID_6"			"Fnatic"
		"CSGO_TeamID_7"			"Clan-Mystik"
		"CSGO_TeamID_8"			"We got game"
		"CSGO_TeamID_9"			"LGB eSports"
		"CSGO_TeamID_10"		"Copenhagen Wolves"
		"CSGO_TeamID_11"		"Universal Soldiers"
		"CSGO_TeamID_12"		"Natus Vincere"
		"CSGO_TeamID_13"		"n!faculty"
		"CSGO_TeamID_14"		"SK Gaming"
		"CSGO_TeamID_15"		"Xapso"
		"CSGO_TeamID_16"		"[R]eason Gaming"
		"CSGO_TeamID_17"		"Valve Squad Alpha"
		"CSGO_TeamID_18"		"Valve Squad Bravo"
		"CSGO_TeamID_20"		"NiP Team A"
		"CSGO_TeamID_21"		"NiP Team B"
		"CSGO_TeamID_22"		"Team Tomi"
		"CSGO_TeamID_23"		"Team Duncan"
		"CSGO_TeamID_24"		"Team Dignitas"
		"CSGO_TeamID_25"		"HellRaisers"
		"CSGO_TeamID_26"		"Team LDLC.com"
		"CSGO_TeamID_27"		"Titan"
		"CSGO_TeamID_28"		"3DMAX"
		"CSGO_TeamID_29"		"mousesports"
		"CSGO_TeamID_30"		"Reason Gaming"
		"CSGO_TeamID_31"		"Virtus.Pro"
		"CSGO_TeamID_32"		"Vox Eminor"
		"CSGO_TeamID_33"		"Cloud9"
		"CSGO_TeamID_34"		"dAT team"
		"CSGO_TeamID_35"		"Epsilon eSports"
		"CSGO_TeamID_36"		"London Conspiracy"
		"CSGO_TeamID_37"		"MTS GameGod Wolf"
		"CSGO_TeamID_38"		"myXMG"
		"CSGO_TeamID_39"		"PENTA Sports"
		"CSGO_TeamID_40"		"Bravado Gaming"
		"CSGO_TeamID_41"		"Planetkey Dynamics"
		"CSGO_TeamID_42"		"ESC Gaming"
		"CSGO_TeamID_43"		"Flipsid3 Tactics"
		"CSGO_TeamID_44"		"x6tence"
		"CSGO_TeamID_45"		"Team Orbit"
		"CSGO_TeamID_46"		"Team EnVyUs"
		"CSGO_TeamID_47"		"Vexed Gaming"
		"CSGO_TeamID_48"		"Team Liquid"
		"CSGO_TeamID_49"		"Counter Logic Gaming"
		"CSGO_TeamID_50"		"Keyd Stars"
		"CSGO_TeamID_51"		"TSM Kinguin"
		"CSGO_TeamID_52"		"Cloud9 G2A"
		"CSGO_TeamID_53"		"Renegades"
		"CSGO_TeamID_54"		"Team Immunity"
		"CSGO_TeamID_55"		"Team Kinguin"
		"CSGO_TeamID_56"		"Team eBettle"
		"CSGO_TeamID_57"		"Luminosity Gaming"
		"CSGO_TeamID_58"		"Team SoloMid"
		"CSGO_TeamID_59"		"G2 Esports"
		"CSGO_TeamID_60"		"Astralis"
		"CSGO_TeamID_61"		"FaZe Clan"
		"CSGO_TeamID_62"		"Splyce"
		"CSGO_TeamID_63"		"Gambit Gaming"
		"CSGO_TeamID_64"		"All-Star Team America"
		"CSGO_TeamID_65"		"All-Star Team Europe"
		"CSGO_TeamID_66"		"OpTic Gaming"
		"CSGO_TeamID_67"		"GODSENT"
		"CSGO_TeamID_68"		"North"


		// SET DESCRIPTIONS

		"CSGO_set_dust"							"The Dust Collection"
		"CSGO_set_dust_desc"					""

		"CSGO_set_aztec"						"The Aztec Collection"
		"CSGO_set_aztec_desc"					""

		"CSGO_set_vertigo"						"The Vertigo Collection"
		"CSGO_set_vertigo_desc"					""

		"CSGO_set_inferno"						"The Inferno Collection"
		"CSGO_set_inferno_desc"					""

		"CSGO_set_militia"						"The Militia Collection"
		"CSGO_set_militia_desc"					""

		"CSGO_set_nuke"							"The Nuke Collection"
		"CSGO_set_nuke_desc"					""

		"CSGO_set_office"						"The Office Collection"
		"CSGO_set_office_desc"					""

		"CSGO_set_assault"						"The Assault Collection"
		"CSGO_set_assault_desc"					""

		"CSGO_set_dust_2"						"The Dust 2 Collection"
		"CSGO_set_dust_2_desc"					""

		"CSGO_set_train"						"The Train Collection"
		"CSGO_set_train_desc"					""

		"CSGO_set_mirage"						"The Mirage Collection"
		"CSGO_set_mirage_desc"					""

		"CSGO_set_italy"						"The Italy Collection"
		"CSGO_set_italy_desc"					""

		"CSGO_set_lake"							"The Lake Collection"
		"CSGO_set_lake_desc"					""

		"CSGO_set_safehouse"					"The Safehouse Collection"
		"CSGO_set_safehouse_desc"				""

		"CSGO_set_esports"						"The eSports 2013 Collection"
//		"CSGO_set_esports_desc"					"A portion of the proceeds from the key used to unlock this will help support CS:GO professional tournament prize pools."

		"CSGO_set_weapons_i"					"The Arms Deal Collection"
		"CSGO_set_weapons_i_desc"				""

		"CSGO_set_bravo_i"						"The Bravo Collection"
		"CSGO_set_bravo_i_desc"					"This item was granted during Operation Bravo to celebrate the Operation's community maps."

		"CSGO_set_bravo_ii"						"The Alpha Collection"
		"CSGO_set_bravo_ii_desc"				"This item was granted during Operation Bravo to an Operation Bravo Coin owner."

