		"SFUI_MainMenu_News_Title"			"News"
		"SFUI_MainMenu_Tooltip_3OpPhoenix_r3"	"Silver Coin for 'Operation Phoenix'"
		"SFUI_MainMenu_Tooltip_3OpPhoenix_r4"	"Gold Coin for 'Operation Phoenix'"
		
		"SFUI_MainMenu_Tooltip_TimeLogged_Min"	"Time Logged: %s1 Minutes"
		"SFUI_MainMenu_Tooltip_TimeLogged_Hrs"	"Time Logged: %s1 Hours"
		"SFUI_MainMenu_CommendTooltip_Wins"     "Number of <b>Competitive Matches</b> won"
		"SFUI_MainMenu_Wins_Title"     "Competitive Matches Won"
		"SFUI_MainMenu_SkillTooltip"            "In competitive matchmaking Skill Group is used to find matches appropriate for player's skill"
		"SFUI_MainMenu_Workshop_Is_Downloading" "Steam Workshop is downloading"
		"SFUI_MainMenu_OperationPayback_Pass" "Get a Pass Here"
		"SFUI_MainMenu_OperationPayback_More_Passes" "Get Another Pass"
		"SFUI_MainMenu_OperationPayback_Desc" "Get a pass and reward our community's top mapmakers"
		"SFUI_MainMenu_OperationPayback_NotOwnCSGO" "BUY IT NOW!"
		"SFUI_MainMenu_OperationPayback_Play" "CLICK HERE TO PLAY"
		"SFUI_MainMenu_OperationPayback_Activate" "CLICK HERE TO \nACTIVATE PASS"
		"SFUI_MainMenu_OperationPayback_For_Friend" "Get another pass \n for Steam Trading"
		"SFUI_MainMenu_OperationPayback_Price" "<font color='#FFFFFF'><b>%s1</b></font>  <font size='12' color='#C0C0C0'><strike>%s2</strike></font>  <font color='#FFFFFF'><b>%s3</b></font>"
		"SFUI_MainMenu_New_Items_Alerts_Plural"     "%s1 New Items!"
		"SFUI_MainMenu_New_Items_Alerts"            "%s1 New Item!"
		"SFUI_MainMenu_Live_Tournament_Alert"       "Tournament Match Live!"
		"SFUI_MainMenu_Global_Mission_Alert"       "Active Blitz Mission"


		"SFUI_MainMenu_MapVote_SelectMaps"       "SELECT MAPS"
		"SFUI_MainMenu_MapVote_SubmitSelection"       "SUBMIT YOUR SELECTION"
		"SFUI_MainMenu_MapVote_GoToWorkshop"       "VIEW ON WORKSHOP"
		"SFUI_MainMenu_MapVote_RemindMeLater"       "Remind Me Later..."
		"SFUI_MainMenu_MapVote_DontWantToVote"		"I Don't Want To Vote"
		"SFUI_MainMenu_MapVote_Header"				"OPERATION VOTE!"
		"SFUI_MainMenu_MapVote_Body"				"In the last two Operations, we've hosted 14 amazing community-made maps on official Valve servers.\nWe want to bring some of these maps back, but we need your help!\nSelect the maps you want to see stick around and the most voted for maps will return in the next Operation!"
		"SFUI_MainMenu_MapVote_LearnOperationSentence"	"Learn about previous Operations:"
		"SFUI_MainMenu_MapVote_Learn_OpBravo"		"Learn about Operation Bravo"
		"SFUI_MainMenu_MapVote_Learn_OpPayback"		"Learn about Operation Payback"
		"SFUI_MainMenu_MapVote_Thanks"              "Thanks for your Vote!"
		
		"SFUI_MainMenu_CZUpdate_Header"				"CZ75-Auto Has Moved!"
		"SFUI_MainMenu_CZUpdate_Desc"				"<font color='#FF9900'>The <b>CZ75-Auto</b> is now an alternative for the <b>Tec-9/Five-SeveN</b> pistol slot.</font>\nIt has a new price of <b>$500.</b>\nIt is no longer an alternative to the P250."
		"SFUI_MainMenu_CZUpdate_Equip"              "Your CZ75-Auto is currently unequipped."
		"SFUI_MainMenu_CZUpdate_Thanks"             "Opening Loadout..."
		"SFUI_MainMenu_CZUpdate_Ok"                 "GOT IT!"
		
		"SFUI_Store_Market_Link"                    "View On Market"
		"SFUI_Store_Limit_Offer"                    "Limited Time Offer"
		"SFUI_Store_Available_Offers"               "Offers Available Till:"
		"SFUI_Store_Preview"                        "Preview"
		"SFUI_Store_Timer_Days"                    "Days"
		"SFUI_Store_Timer_Day"                     "Day"
		"SFUI_Store_Timer_Weeks"                    "%s1 Weeks"
		"SFUI_Store_Timer_Week"                     "%s1 Week"
		"SFUI_Store_Timer_Hours"                    "Hours"
		"SFUI_Store_Timer_Hour"                     "Hour"
		"SFUI_Store_Timer_Mins"                     "Mins"
		"SFUI_Store_Timer_Min"                      "Min"
		"SFUI_Store_Timer_Secs"                     "Secs"
		"SFUI_Store_Timer_Sec"                      "Sec"
		"SFUI_Store_Your_Offers"                    "Your Offers"
		"SFUI_Store_View_Offers"					"View Your Offers"
		"SFUI_Store_LookInside"						"Peek Inside"
		"SFUI_Store_Has_StatTrak"					"StatTrak™"
		
		"SFUI_Store_Hint_Gift_-_1_Player"          "Gift an item to a random player in your match"
		"SFUI_Store_Hint_Gift_-_9_Players"         "Gift items to 9 other players in your match"
		"SFUI_Store_Hint_Gift_-_25_Spectators"     "Gift items to 25 GOTV viewers watching your match"
		
		"SFUI_Store_Hint_E-Sports_Weapon_Case_Key_1" "Opens any eSports Case"
		"SFUI_Store_Hint_Weapon_Case_Key"           "Unlock Arms Deal and Bravo Cases"
		"SFUI_Store_Hint_Community_Case_Key_1"      "Unlock the Winter Offensive Case"
		"SFUI_Store_Hint_Community_Case_Key_2"      "Unlock the Operation Phoenix Case"
		"SFUI_Store_Hint_Community_Case_Key_3_May_2014"      "Unlock the Huntsman Case"
		"SFUI_Store_Hint_Community_Case_Key_3_June_2014"      "Unlock the Huntsman Case"
		"SFUI_Store_Hint_Community_Case_Key_4"      "Unlock the Operation Breakout Case"
		"SFUI_Store_Hint_Community_Case_Key_5"      "Unlock the Operation Vanguard Case"
		"SFUI_Store_Hint_Community_Case_Key_6"      "Unlock the Chroma Case"
		"SFUI_Store_Hint_Sticker_Crate_Key"         "Unlock a Sticker Capsule"
		"SFUI_Store_Hint_Name_Tag"                  "Rename any weapon"
		"SFUI_Store_Hint_crate_stattrak_swap_tool"     "This item contains <b> two StatTrak™ Swap Tools</b>. A Swap Tool swaps StatTrak™ values between two of the same item type"
		"SFUI_Store_Hint_Community_Season_Two_Autumn_2013" "Click for more info. New maps added!"
		"SFUI_Store_Hint_Community_Season_Three_Spring_2014" "Play the best community maps on matchmaking"
		"SFUI_Store_Hint_Community_Season_One_Spring_2013"   "Play the best community maps on matchmaking"
		"SFUI_Store_Hint_Community_Season_Four_Summer_2014"  "- The Operation Breakout coin \n- Mission drops\n- 45 new weapon finishes as potential mission rewards\n- Operation Breakout Case drops\n- Operation Breakout Journal and more..."
		"SFUI_Store_Hint_Community_Season_Five_Summer_2014"  "- The Operation Vanguard coin \n- Two Operation Campaigns, choose from 44 playable missions \n- Operation Vanguard Case drops\n- Operation Vanguard Journal and more..."
		"SFUI_Store_Hint_Community_Season_Six_2015"  "- The Operation Bloodhound coin \n- Two Operation Campaigns, choose from 60 missions \n- Missions reward XP Bonuses \n- Operation Bloodhound Case and weapon drops \n- Operation Bloodhound Journal and more..."
		"SFUI_Store_Hint_CommunitySeasonSeven2016"  "- The Operation Wildfire coin \n- The Wildfire Campaign and the cooperative Gemini Campaign \n- All-new global Blitz mission events \n- Operation Wildfire Case and weapon drops \n- Operation Wildfire Journal and more..."
		
		"SFUI_Store_Hint_Community_Season_Five_Summer_2014_Gift"  "You already have a pass\n<b>Get an extra pass to trade as a gift<b>"
		"SFUI_Store_Hint_Community_Season_Five_Summer_2014_GiftActive" "You already have an active pass\n<b>Get an extra pass to trade as a gift<b>"
		"SFUI_Store_Hint_crate_sticker_pack_kat2014_01"      "This lockless capsule is available for a limited time."
		"SFUI_Store_Hint_crate_sticker_pack_kat2014_02"      "This lockless capsule is available for a limited time."
		"SFUI_Store_Hint_Community_Sticker_Capsule_1_Key_May_2014"    "Unlock Community Sticker Capsule 1."
		"SFUI_Store_Hint_Community_Sticker_Capsule_1_Key_June_2014"    "Unlock Community Sticker Capsule 1."
		"SFUI_Store_Hint_crate_sticker_pack_Cologne2014_01"      "This lockless capsule is available for a limited time."
		"SFUI_Store_Hint_crate_sticker_pack_Cologne2014_02"      "This lockless capsule is available for a limited time."
		"SFUI_Store_Hint_crate_esports_2014_summer"              "This case contains 17 weapon finishes from the eSports 2014 Summer Collection"
		"SFUI_Store_Hint_crate_operation_vanguard"               "This case contains 14 community made weapon finishes from the Vanguard Collection" 
		"SFUI_Store_Hint_crate_community_10"                     "This case contains two R8 Revolver finishes and 15 community made weapon finishes from The Revolver Case Collection" 

		"SFUI_Store_Hint_crate_community_15"                     "This case contains 17 community made weapon finishes from the Glove Collection"
		"SFUI_Store_Hint_crate_Gamma_2"            		         "This case contains 17 community made weapon finishes from the Gamma 2 Collection"
		"SFUI_Store_Hint_crate_community_13"                     "This case contains 17 community made weapon finishes from the Gamma Collection" 
		"SFUI_Store_Hint_crate_community_12"                     "This case contains 17 community made weapon finishes from the Chroma 3 Collection" 
		"SFUI_Store_Hint_crate_community_11"                     "This case contains 16 community made weapon finishes from the Wildfire Collection" 
		"SFUI_Store_Hint_crate_community_9"                      "This case contains 16 community made weapon finishes from the Shadow Collection" 
		"SFUI_Store_Hint_crate_community_8"                      "This case contains 16 community made weapon finishes from the Falchion Collection" 
		"SFUI_Store_Hint_crate_community_7"                      "This case contains 15 community made weapon finishes from the Chroma 2 Collection" 
		"SFUI_Store_Hint_crate_community_6"                      "This case contains 14 community made weapon finishes from the Chroma Collection" 
		"SFUI_Store_Hint_crate_community_4"                      "This case contains 14 community made weapon finishes from the Breakout Collection" 
		"SFUI_Store_Hint_crate_community_2"                      "This case contains 13 community made weapon finishes from the Phoenix Collection" 
		"SFUI_Store_Hint_crate_community_3"                      "This case contains 15 community made weapon finishes from the Huntsman Collection" 
		"SFUI_Store_Hint_crate_community_1"                      "This case contains 13 community made weapon finishes from the Winter Offensive Collection" 
		"SFUI_MegaBundle_Hint"									"Contains 50 Items!"
		
		////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
		//Main Menu : Play Submenu
		////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

		"SFUI_PlayMenuTitle"				"PLAY"
		"SFUI_PlayMenu_Online"				"MATCHMAKING"
		"SFUI_PlayMenu_Offline"				"LOCAL PLAY"
		"SFUI_PlayMenu_QuickMatchButton"	"QUICK MATCH" [$WIN32||$X360]
		"SFUI_PlayMenu_CustomMatchButton"	"FIND A GAME" [!$X360]
		"SFUI_PlayMenu_CustomMatchButton"	"CUSTOM MATCH" [$X360]
		"SFUI_PlayMenu_QuickMatchButton"	"QUICK MATCH"	[$PS3]
		"SFUI_PlayMenu_CustomMatchButton"	"FIND A GAME" [$PS3]
		"SFUI_PlayMenu_BrowseServersButton"	"BROWSE COMMUNITY SERVERS"
		"SFUI_PlayMenu_ReportServer"        "REPORT THIS SERVER"
		"SFUI_PlayMenu_CommunityQuickplay"	"COMMUNITY QUICK-PLAY"
		"SFUI_PlayMenu_FriendsMatchButton"	"JOIN XBOX LIVE PARTY GAME" [$X360]
		"SFUI_PlayMenu_FriendsMatchButton"	"PLAY WITH FRIENDS" [$WIN32||$PS3]
		"SFUI_PlayMenu_InsigniaMatchButton"	"PLAY WITH INSIGNIA"
		"SFUI_PlayMenu_WithBotsButton"		"OFFLINE WITH BOTS" [$WIN32]
		"SFUI_PlayMenu_WithBotsButton"		"OFFLINE WITH BOTS" [$X360||$PS3]

		"SFUI_PlayMenu_CreateLobbyButton"	"PLAY WITH FRIENDS"
		"SFUI_Overwatch_Title"				"Overwatch"
		"SFUI_Overwatch_Faq_Link"			"Overwatch F.A.Q."
		"SFUI_Overwatch_Download"			"DOWNLOAD EVIDENCE"
		"SFUI_Overwatch_Investigate"		"REVIEW EVIDENCE"
		"SFUI_Overwatch_Download_Desc"		"You have a pending case to review."
		"SFUI_Overwatch_Watch_Desc"			"Process takes approx. 10 minutes."
		"SFUI_Overwatch_Case_Number"		"Case ID:"
		"SFUI_Overwatch_Downloading"		"...Downloading"
		"SFUI_Overwatch_Beta"               "Beta"
		"SFUI_Overwatch_Tooltip"		"<b>Welcome to the Overwatch.</b>\n\nThe Overwatch allows the CS:GO community to regulate itself by providing a method for qualified and experienced members of the community (‘investigators‘) to review reports of disruptive behavior, determine whether the reports are valid, and apply bans if appropriate.\n\nIf you choose to participate, you will be presented with a replay (approx. 10 minutes) of a player suspected of disruptive behavior and the opportunity to cast a verdict at the end.\n\n 1. Click on the DOWNLOAD EVIDENCE button. The case replay file will begin to download.\n 2. Click on REVIEW EVIDENCE. You will now watch the replay.\n 3. At the end, select the appropriate resolution from the possible options.\n 4. You're done!\n\nAfter your cases are resolved, you will receive an <b>Earned XP reward</b> based on the accuracy of your verdicts. You can collect your XP reward at the end of a match on official servers. Thank you for helping the CS:GO community."

		"SFUI_Overwatch_Res_Postpone_Label"		"Postpone Judgement"

		"SFUI_Overwatch_Res_Postpone_Desc"			""

		"SFUI_Overwatch_Res_Instructions"		"Now that you've reviewed the evidence, it is your duty to determine the facts for each of the categories below. Note that for each category of disruption you should <b>presume the suspect to be innocent</b>. Only if you are confident that you witnessed behavior that would be agreed upon by the CS:GO community to be disruptive, anti-competitive, and/or anti-social <b>beyond a reasonable doubt</b> should you select '<b>Evident Beyond a Reasonable Doubt</b>'.  If you are not 100% confident in your decision, you should select '<b>Insufficient Evidence</b>'.\n\nIf you don't feel that you were able to dedicate the appropriate attention level required to reach a verdict, please click on <b>POSTPONE JUDGEMENT</b>. The case will remain available for you to review at a later time."

		"SFUI_Overwatch_Res_Major_Label"	"Evident Beyond a Reasonable Doubt"

		"SFUI_Overwatch_Res_Major_Desc"	"In the evidence you reviewed you witnessed the suspect exhibiting behavior that would be agreed upon, by the general CS:GO community, to be extremely disruptive, anti-competitive, and/or anti-social. Examples of such behavior would be using <font color='#FFFFFF'><b>aimbots, speedhacks, wallhacks, or other external software</b></font> to modify the outcome of the suspect's or others' actions in the game."

		"SFUI_Overwatch_Res_Minor_Label"	"Minorly Disruptive"

		"SFUI_Overwatch_Res_Minor_Desc"		"In the evidence you reviewed you did not witness the suspect exhibiting majorly disruptive behavior consistent with a Major Disruption verdict, but you did witness behavior that would be agreed upon, by the general CS:GO community, to be somewhat disruptive, anti-competitive, and/or anti-social. Examples of such behavior would be <b><font color='#FFFFFF'><b>deliberately interfering with or trying to damage or be damaged by teammates.</b></font>"

		"SFUI_Overwatch_Res_NotGuilty_Label"	"Insufficient Evidence"

		"SFUI_Overwatch_Res_NotGuilty_Desc"		"In the evidence you reviewed you did not witness the suspect exhibiting any behavior that you would categorize as disruptive per the definitions listed above, or there is <font color='#FFFFFF'><b>insufficient evidence to determine that what you witnessed was disruptive beyond a reasonable doubt.</b></font>"

		"SFUI_Overwatch_Res_Griefing"				"Minor Disruption: Griefing"
		"SFUI_Overwatch_Res_AimHacking"				"Major Disruption: Aim Assistance"
		"SFUI_Overwatch_Res_WallHacking"			"Major Disruption: Vision Assistance"
		"SFUI_Overwatch_Res_SpeedHacking"			"Major Disruption: Other External Assistance"
		"SFUI_Overwatch_Res_Griefing_Desc"		"The evidence you reviewed would be judged, by any reasonable member of the CS:GO community, as clearly demonstrating that The Suspect <font color='#FFFFFF'><b>exhibited behavior that was disruptive, anti-competitive, and/or anti-social</b></font>, e.g. deliberately interfering with or trying to damage or be damaged by teammates, or deliberately losing the match."
		"SFUI_Overwatch_Res_AimHacking_Desc"		"The evidence you reviewed would be judged, by any reasonable member of the CS:GO community, as clearly demonstrating that The Suspect <font color='#FFFFFF'><b>used external software to improve their aim</b></font>, e.g. automated targeting, recoil reduction or elimination, etc."
		"SFUI_Overwatch_Res_WallHacking_Desc"		"The evidence you reviewed would be judged, by any reasonable member of the CS:GO community, as clearly demonstrating that The Suspect <font color='#FFFFFF'><b>used external software to gain information about locations of their opponents</b></font>, e.g. vision through walls or smoke, flashbang effect reduction or elimination, etc."
		"SFUI_Overwatch_Res_SpeedHacking_Desc"		"The evidence you reviewed would be judged, by any reasonable member of the CS:GO community, as clearly demonstrating that The Suspect <font color='#FFFFFF'><b>used external software other than those listed above to gain an advantage over their opponents</b></font>, e.g. speedhacking, automated jumping scripts, upside-down views, etc."


		"SFUI_Overwatch_Submit_label"			"Submit Verdict"
		"SFUI_Overwatch_Resolution_Title"		"Overwatch Resolution"
		"SFUI_Overwatch_Submit_Thanks"			"Your verdict has been received.\n\nThank you for serving as an Overwatch investigator."
		"SFUI_Overwatch_Submitting"				"Submitting your verdict..."
		
		"SFUI_Missions_Title"	                "Campaign Mission: %s1"
		"SFUI_Missions_Title_Choose"	        "Pick Next Accessible Mission"
		"SFUI_Missions_Title_Campaigns"	        "Operation Campaigns"
		"SFUI_Missions_Title_Global_Active"	    "Active Blitz Mission"
		"SFUI_Missions_Title_Global_Time_Left"	"Ends in %s1 Minutes"
		"SFUI_Missions_Title_Global_Upcoming"	"Upcoming Blitz Mission"
		"SFUI_Missions_New"	                    "NEW!"
		"SFUI_Missions_Hint_Get_More"	        "Missions are dropped at the end of matches. Play to earn missions."
		"SFUI_Missions_Hint_Mission_Full"	    "Complete assigned missions to earn stated rewards."
		"SFUI_Missions_Delete"                  "Delete Mission"
		"SFUI_Missions_RewardTitle1"            "Mission"
		"SFUI_Missions_RewardTitle2"            "Reward!"
		"SFUI_Missions_Status_Active"           "%s1/2 Assigned"
		"SFUI_Missions_Status_Completed"        "%s1/2 Assigned"
		"SFUI_Missions_Status_Single"           "%s1 Assigned"
		"SFUI_Missions_In_Map"                  "Mission Active"
		"SFUI_Missions_Not_In_Map"              "Mission requires a different map or game mode"
		"SFUI_Missions_In_MorePlayers"          "Mission progress unavailable: more players required"
		"SFUI_Missions_In_WarmUp"          		"Mission progress unavailable during warmup"
		"SFUI_Missions_Server_Desync"			"Mission progress unavailable: game server failed to set up mission requirements"
		"SFUI_Missions_Wrong_Team"          	"Mission requires you to be on a different team"
		"SFUI_Missions_Play"                    "Play Mission"
		"SFUI_Missions_Play_Active"             "Play Active Mission"
		"SFUI_Missions_Comic"                   "View Comic"
		"SFUI_Missions_Audio"                 	"Play Mission Brief"
		"SFUI_Missions_Replay"                 	"Replay Mission"
		"SFUI_Missions_Switch"					"%s1: %s2 Accessible Mission"
		"SFUI_Missions_Switch_multi"			"%s1: %s2 Accessible Missions"
		"SFUI_Missions_Remove"                  "Delete Mission"
		"SFUI_Missions_Global_Upcoming"         "Upcoming Blitz Mission"
		"SFUI_Missions_Global_ToolTip"	        "Blitz Missions are events during which operation coin holders can earn additional XP by accomplishing the specified action."
		"SFUI_Campaign_Buy"                     "Get Campaign"
		"SFUI_Stirke_Mission_Schedule"			"Blitz Missions Schedule"
		"SFUI_Stirke_Xp_Info"					"XP is earned by completing matches in any mode and by completing missions."
		"SFUI_Stirke_Rank_Warning_Level1"		"Participate in competitive Blitz missions once you reach Private Rank 2"
		"SFUI_Stirke_Rank_Warning_info"			"Earn progress faster by completing campaign missions"
		

		////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
		//Main Menu : Profile Submenu
		////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

		"SFUI_ProfileMenu_PlayerControlsButton"		"PLAYER CONTROLS & SETTINGS"
		"SFUI_ProfileMenu_StatsButton"				"STATS"
		"SFUI_ProfileMenu_InsigniaButton"			"INSIGNIA"

		////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
		//Main Menu : Inventory Panel
		////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

		"SFUI_InvPanel_Loadout_Title"		"Loadout"
		"SFUI_InvPanel_Inventory_Title"		"Inventory"
		"SFUI_InvPanel_Market_Title"		"Community Market"
		"SFUI_InvPanel_filter_Text"		    "Filter Name"
		"SFUI_InvPanel_filter_title"		"Filter:"
		"SFUI_InvPanel_filter_all"			"All"
		"SFUI_InvPanel_filter_heavy"		"Heavy"
		"SFUI_InvPanel_filter_secondary"	"Pistols"
		"SFUI_InvPanel_filter_rifle"		"Rifles"
		"SFUI_InvPanel_filter_smg"			"Smgs"
		"SFUI_InvPanel_filter_melee"		"Knives"
		"SFUI_InvPanel_filter_gloves"		"Gloves"
		"SFUI_InvPanel_filter_clothing"		"Gloves"
		"SFUI_InvPanel_filter_flair0"		"Display"
		"SFUI_InvPanel_filter_musickit"		"Music Kits"
		"SFUI_InvPanel_filter_item_definition:sticker"		"Stickers"
		"SFUI_InvPanel_filter_spray"		"Graffiti"
		"SFUI_InvPanel_filter_equipped"		"Hide Equipped Items"
		"SFUI_InvPanel_filter_default"		"Hide Default Items"
		"SFUI_InvPanel_filter_not_equipment" "Contracts, Cases, Keys..."
		"SFUI_InvPanel_filter_any_equipment" "All Weapons"
		"SFUI_InvPanel_filter_only_weapons" "All Weapons"
		"SFUI_InvPanel_empty_slot"          "Empty"
		"SFUI_InvPanel_sort_title"			"Sort:"
		"SFUI_InvPanel_sort_unsorted"		"Unsorted"
		"SFUI_InvPanel_sort_newest"			"Acquired"
		"SFUI_InvPanel_sort_oldest"			"Reverse Acquired"
		"SFUI_InvPanel_sort_alphaascend"    "Alphabetical"
		"SFUI_InvPanel_sort_alphadescend"   "Reverse Alphabetical"
		"SFUI_InvPanel_sort_mostrare"		"Quality"
		"SFUI_InvPanel_sort_leastrare"		"Reverse Quality"
		"SFUI_InvPanel_sort_slot"			"Equip Slot"
		"SFUI_InvPanel_sort_collection"		"Collection"
		"SFUI_InvPanel_sort_equipped"		"Equipped"
		"SFUI_InvTooltip_Team"				"Team:"
		"SFUI_InvTooltip_WeaponType"		"Type:"
		"SFUI_InvTooltip_Set"				"Collection:"
		"SFUI_InvTooltip_SetTag"			"Collection"
		"SFUI_InvTooltip_MusicKitCapsuleTag"	"Music Kit Collection"
